covid 19,3231
wear mask,2275
wearing mask,1045
wear masks,882
mask mandate,782
wearing masks,756
social distancing,673
mask wearing,644
face masks,559
stay home,470
wash hands,402
mask mandates,383
social distance,343
danish study,319
masks work,285
face mask,274
masks protect,253
19 cases,236
wore masks,234
distancing mask,228
coronavirus restrictions,225
people wear,207
wearing work,207
please wear,202
statewide mask,200
strict spain,191
restrictions achieve,191
october mandatory,186
spread covid19,175
outdoors despite,175
achieve nothing,170
people wore,167
masks social,165
mask social,165
spread covid,164
could avoided,164
stay safe,163
masks says,162
lockdowns could,161
spain masks,160
mask wash,158
study finds,158
avoided 95,156
spanish cases,153
95 people,152
without mask,149
protect wearer,148
must worn,145
stop spread,137
covid19 cases,135
inside outdoors,135
damn mask,134
mask stay,133
throughout october,133
work boris,133
covid19 coronavirus,130
despite spanish,129
people wearing,127
public health,124
masks mandatory,124
without masks,123
wear damn,121
slow spread,118
mask public,117
covid19 masks,116
mandatory distancing,116
coronavirus cases,115
home wear,114
n95 mask,114
250 000,113
rose sharply,113
19 infection,112
mask covid19,109
wearing face,106
worn inside,106
prevent spread,105
mask study,104
masks must,104
mask wearers,101
save lives,99
n95 masks,96
masks public,96
anti maskers,95
masks amp,94
loved ones,93
coronavirus covid19,91
lockdown spain,91
fine wearing,91
mandatory social,88
cases rose,88
face coverings,85
spread coronavirus,84
sharply throughout,83
danish mask,82
19 pandemic,82
new cases,81
distance wash,80
mask use,79
use mask,79
fucking mask,79
many people,78
mask covid,78
masks effective,78
task force,78
wear face,78
anti mask,77
mask order,77
coronavirus danish,77
spanish lockdown,76
wear fucking,75
wearer coronavirus,75
put mask,75
cases skyrocketed,75
rs 2000,75
mask amp,73
healthcare workers,72
refuse wear,71
19 also,71
rs 000,71
cloth masks,70
mandate masks,70
mandatory masks,69
infection rates,69
masks help,68
protect others,68
public places,68
surgical masks,67
help stop,67
wore mask,67
masks covid19,67
south dakota,67
extremely strict,67
make sure,66
boris coronavirus,66
washing hands,66
protection coronavirus,66
mask protect,65
says masks,65
covid19 wearamask,65
indoors outdoors,65
masks shutdowns,65
masks saves,64
need wear,64
top pathologist,64
physical distancing,64
alberta government,64
19 vaccine,63
mask used,63
mask n95,63
covid19 pandemic,62
mask keep,62
staying home,62
came covid,62
required everyone,62
new covid,62
must listen,62
doctor virologist,62
virologist calls,62
calls alberta,62
misshandling covid19,62
shutdowns sound,62
sound begins,62
begins in10,62
in10 seconds,62
used medical,61
everyone use,61
alberta doctor,61
government hindshaw,61
hindshaw city,61
city edmonton,61
edmonton gross,61
gross misshandling,61
statistically significant,60
asked n95,60
info came,60
also asymtomatic,60
asymtomatic required,60
listen alberta,60
fauci initially,59
initially asked,59
shortage later,59
later info,59
greatest hoax,58
keep distance,58
medical people,58
maskup covid19,58
rs 500,58
gon na,57
hoax ever,57
people still,57
measures like,57
info fauci,57
everyone wear,56
national mask,56
practice social,56
health care,56
people shortage,56
noem info,56
arbitrary coronavirus,56
socially distance,56
cases rising,55
mask properly,55
coronavirus task,55
mask people,54
wearamask covid19,54
uk coronavirus,54
arvind kejriwal,54
safe wear,53
ever perpetrated,53
hand washing,53
work uk,53
lockdown strict,53
19 restrictions,53
boris arbitrary,53
tested positive,52
masks covid,52
mandatory mask,52
perpetrated unsuspecting,52
unsuspecting public,52
skyrocketed throughout,52
fine rs,52
internal medicine,52
evidence face,51
spain extremely,51
like mask,51
covid19 corona,51
lockdown facemasks,51
19 spread,50
fight covid,50
white house,50
joe biden,50
take care,49
non mask,49
masks provide,49
masks distancing,49
saves use,49
covid19 mask,49
coronavirus cdc,49
clear evidence,48
wearer covid,48
masks prevent,48
gop governors,47
holy spirit,47
masks lockdowns,47
19 patients,47
cdc news,47
indoor public,47
distance wear,46
masks worn,46
spread virus,46
coronavirus rules,46
want wear,46
protection covid,46
particularly strict,46
coronavirus pandemic,46
public spaces,46
quarantine lockdown,46
finds clear,45
mask help,45
000 people,45
agree noem,45
coverings must,45
social gatherings,45
corona quarantine,45
facemasks protection,45
news wholesale,45
wholesale sale,45
use masks,44
19 mask,44
distancing wearing,44
medical masks,44
every day,43
found statistically,43
stop covid,43
limited protection,43
study shows,43
19 virus,43
right thing,43
randomized controlled,43
annals internal,43
mask usage,42
reduce spread,42
pathologist claims,42
every state,42
united states,42
require masks,42
cases spain,42
covid19 maskup,42
hands often,42
controlled trial,42
basic measures,42
quarter million,41
get covid,41
mask please,41
masks utterly,41
utterly useless,41
dr fauci,41
keep safe,40
people died,40
masks people,40
common sense,40
covid19 covid,40
finds via,40
people dying,39
masks stop,39
states crisis,39
masks coronavirus,39
please stay,39
surge worst,39
worst places,39
places leaders,39
work why,39
died covid,38
please please,38
feet apart,38
people die,38
survival rate,38
mask go,38
delhi cm,38
000 fine,38
forced wear,38
containment efforts,38
says cnn,38
sars cov,37
wears mask,37
ron desantis,37
amp social,37
governors long,37
long resisted,37
rules states,37
million people,37
lockdown particularly,37
distance amp,37
virus containment,37
efforts failed,37
hands stay,36
mouth nose,36
via etsy,36
stayhome staysafe,36
get sick,36
contact tracing,36
despite cases,36
hand sanitizer,36
covid19 covid_19,36
skyrocketed october,36
hands wear,36
landmark danish,36
trial date,36
published annals,36
mask stop,36
covid covid19,36
leaders neglected,36
neglected keep,36
keep forceful,36
forceful virus,36
failed implement,36
implement basic,36
new hampshire,36
in person,35
masks reduce,35
much possible,35
masks masks,35
family friends,35
gavin newsom,35
effectiveness mask,35
first place,35
largest randomized,35
date 024,35
home much,35
masks indoor,35
massive danish,34
mayo clinic,34
protect wearers,34
states mask,34
must wear,34
masks holy,34
mandatory inside,34
spain face,34
effective covid,34
mask socially,34
us wear,34
holiday season,33
lockdowns masks,33
covid masks,33
like wearing,33
covid19 euamrefoncovid19ke,33
novel coronavirus,33
got covid,33
casts doubt,33
19 real,32
positive covid,32
doctors nurses,32
mask around,32
protect coronavirus,32
always wear,32
people covid,32
mandatory indoors,32
absolutely nothing,32
province wide,32
done nothing,32
difference covid,32
masks mandated,31
death toll,31
masks useless,31
wear one,31
new coronavirus,31
getting covid,31
even though,31
masks day,31
hands frequently,31
herd immunity,31
via mailonline,31
everyone else,31
almost every,31
significant benefit,30
whether masks,30
months ago,30
infection rate,30
mandates coronavirus,30
tennessee mayor,30
spirit says,30
public place,30
mask wear,30
second wave,30
help slow,30
study casts,30
doubt effectiveness,30
wearing alone,30
alone effective,30
99 survivability,30
024 subjects,30
refused publish,30
effective infection,30
mask work,29
masks found,29
new study,29
show masks,29
refusing wear,29
issue mask,29
coronavirus infection,29
covid facemask,29
mayor require,29
masks even,29
president elect,29
fight covid19,29
people like,29
2000 fine,29
mandated mask,29
patriotic duty,29
need mask,29
19 strategy,29
study jama,29
jama nejm,29
nejm amp,29
amp lancet,29
lancet refused,29
publish published,29
medicine largest,29
subjects medical,29
infection masksdontwork,29
positivity rate,28
infection via,28
via thelocaldenmark,28
study surgical,28
benefit covid,28
000 americans,28
distancing masks,28
year old,28
last week,28
distancing amp,28
fashionmasksdesign via,28
etsy mask,28
facemask stayhome,28
staysafe fashion,28
fashion corona,28
corona beauty,28
beauty quarentine,28
quarentine pandemic,28
pandemic socialdistance,28
socialdistance coronavirus,28
coronavirus supportsmallbusinesses,28
supportsmallbusinesses google,28
resisted mask,28
maintain social,28
take mask,28
coronavirus masks,28
spain strict,28
worn indoors,28
due covid,28
denmark study,28
health measures,28
pandemic coronavirus,28
amp masks,27
surgical mask,27
deadly virus,27
high risk,27
covid cases,27
health officials,27
life covid,27
masks stay,27
mask distance,27
mask face,27
pennsylvania mask,27
mask get,27
protect people,27
spain lockdown,27
achieve absolutely,27
000 deaths,27
500 rs,27
enforce mask,27
rising almost,27
state surge,27
hysteria done,27
kids forced,27
chinavirus coronavirus,27
state covid,26
feel good,26
effort slow,26
keep social,26
people would,26
significant difference,26
wan na,26
cases rise,26
mask masks,26
trump supporters,26
everyone wearing,26
super spreader,26
stats like,26
mask coronavirus,26
mask practice,26
maintaining social,26
hand hygiene,26
wearing social,26
sharply october,26
mask would,26
help us,26
19 tests,26
delhi govt,26
anti masker,26
get covid19,26
press conference,26
watch distance,26
done 99,26
cases soar,26
survivability covid19,26
covid19 democrat,26
mass hysteria,26
done kids,26
done lockdowns,26
lockdowns fightback,26
take streets,26
democrats enoughisenough,26
enoughisenough chinavirus,26
mandated masks,26
still wear,25
stop virus,25
public says,25
horowitz massive,25
new mask,25
cases surge,25
19 hoax,25
face covering,25
face shield,25
across country,25
coronavirus mask,25
require covid,25
masks properly,25
care workers,25
19 still,25
govkristinoem agree,25
spain rose,25
mask nose,25
feel like,25
new pennsylvania,25
order extends,25
extends mandate,25
mandate private,25
private homes,25
help prevent,25
one another,25
masks may,25
study published,25
cloth face,25
back normal,25
family members,25
governor america,25
trump toady,25
higher covid,25
19 stats,25
kids back,25
back school,25
midst pandemic,25
contracted covid,25
mask save,25
mandates first,25
democrat mass,25
school done,25
fightback maga,25
maga take,25
streets beware,25
beware democrats,25
sale facemasks,25
getting sick,24
mask even,24
others wear,24
provide limited,24
tell us,24
masks required,24
mask orders,24
people get,24
covid coronavirus,24
makes sense,24
keep wearing,24
even restrictions,24
looks like,24
go back,24
let get,24
friends family,24
outdoors even,24
get back,24
cases deaths,24
desantis worst,24
worst governor,24
america obvious,24
obvious trump,24
toady sickening,24
