covid 19,1458
wear mask,908
face mask,807
wearing mask,687
wear face,207
social distancing,179
face masks,179
coronavirus mask,155
corona virus,141
tested positive,130
covid19 coronavirus,109
wearing face,109
positive coronavirus,108
n95 mask,97
mask public,97
without mask,95
mask wearing,89
mask factory,78
spread covid,73
surgical mask,73
mask coronavirus,70
coronavirus covid19,66
our_right_ras2018result our_right_ras2018result,65
stay home,64
mask via,64
wash hands,62
positive covid,62
wear masks,58
trump personal,58
told wear,57
test kit,57
need wear,55
mask deal,55
security guard,54
ventilator test,54
19 medical,54
wearing masks,53
need help,53
medical materials,53
mask protect,52
mask weeks,52
mask gloves,52
use mask,52
chinese covid,52
medical material,52
material manufacturer,52
manufacturer ventilator,52
kit disposable,52
disposable medical,52
medical surgical,52
mask dingqing,52
dingqing gloves,52
gloves medical,52
materials need,52
jail wearing,50
spread coronavirus,49
died coronavirus,49
nose mask,48
tests positive,48
one forfeit,48
forfeit liberty,48
sent jail,48
personal valet,48
stay safe,47
personal valets,47
19 pandemic,46
coronavirus pandemic,46
no one,46
virus restrictions,44
meatpacking worker,44
19 mask,43
restrictions no,43
liberty sent,43
mask job,43
cloth face,42
protect others,42
white house,42
job died,42
mask amp,41
rand paul,41
mask covid,41
worker told,41
valets tested,41
19 wear,40
247 million,40
donald trump,39
trump says,39
prevent spread,39
says wear,38
mask help,38
abbott virus,38
one trump,38
social distance,37
14 days,37
cloth mask,36
mask honeywell,35
chinese company,34
must wear,34
face covering,34
wear one,34
chinese firm,34
valet tested,34
coronavirus report,34
fight covid,33
mask protection,33
wears mask,33
firm reimburse,33
controversial mask,33
deal contract,33
mask mask,32
deal chinese,32
facemask coronavirus,32
reimburse 247,32
million controversial,32
contradicts nurse,31
contract shows,31
political statement,31
wore mask,30
need mask,30
let die,30
trump wear,30
trump contradicts,30
los angeles,30
many people,30
mask prevent,30
n95 masks,29
mask would,29
asked wear,29
coronavirus covid,29
via zazzle,29
protective gear,29
stop spread,28
decision wear,28
trump valet,28
refuses wear,27
mask make,27
wo wear,27
mask corona,27
culture war,27
everyone wear,26
people wear,26
cloth masks,26
put mask,26
defends wearing,26
becoming political,26
grocery store,25
coronavirus virus,25
president trump,25
live let,25
pays 30,25
30 per,25
cotton face,25
mask wear,25
public becoming,25
use face,24
nurse describing,24
describing sporadic,24
sporadic supply,24
supply protective,24
gear despite,24
despite wearing,24
valet tests,24
new york,23
get covid,23
19 face,23
gavin newsom,23
coronavirus masks,22
mask stay,22
wearing n95,22
mask face,22
mask policy,22
help protect,22
mask new,22
fatally shot,22
immune system,22
mask risk,22
days isolation,22
black cotton,22
coronavirus wear,21
refusing wear,21
mask covid_19,21
mask protects,21
people wearing,21
mask key,21
life lockdown,21
distancing face,21
statement moment,21
moment pick,21
pick sides,21
brewing culture,21
risk 14,21
market leader,21
mask social,20
nose mouth,20
get sick,20
mask keep,20
set face,20
let prepare,20
prepare life,20
lockdown nurserylive,20
nurserylive gifting,20
gifting face,20
masks india,20
india social,20
key india,20
india jeetega,20
jeetega covid,20
covid harega,20
harega covid__19,20
sides brewing,20
war containing,20
containing coronavirus,20
practice social,19
test positive,19
damn mask,19
using mask,19
mask could,19
covid_19 coronavirus,19
public places,19
honeywell facility,19
facility consulting,19
coronavirus trump,19
health care,19
factory arizona,19
dollar tree,19
mask requirements,19
mask use,19
19 virus,19
covid__19 via,19
via nurserylive,19
isolation market,19
look ridiculous,19
zazzle mask,19
protection facemask,19
virus socialdistancing,19
colorful color,19
color unique,19
unique stylish,19
hand sanitizer,18
tells trump,18
via freep,18
worn mask,18
coronavirus wearing,18
coronavirus facemask,18
getting covid,18
consulting ceo,18
masks public,18
california pays,18
wiping nose,18
clerk asked,18
anti mask,18
required wear,18
mask go,18
gov gavin,18
slow spread,18
socialdistancing colorful,18
paul says,17
coronavirus nurse,17
nurse tells,17
used n95,17
family dollar,17
coronavirus face,17
mask trump,17
mask making,17
per coronavirus,17
mask rule,17
nose dollar,17
tree clerk,17
kansas farmer,17
prevent covid,17
coronavirus covid_19,17
19 coronavirus,17
want wear,17
masks free,17
make mask,16
staying home,16
trump used,16
easier breathe,16
may 2020,16
angeles times,16
protective equipment,16
man charged,16
charged wiping,16
leave homes,16
experts say,16
19 wearing,16
maintain social,16
19 crisis,16
mask re,16
coronavirus news,16
coronavirus researcher,16
researcher fatally,16
shot trump,16
trump defends,16
19 cases,16
walking around,16
book set,16
free nurserylive,16
nurserylive let,16
mandatory mask,15
mask senate,15
refuse wear,15
make sure,15
covid19 covid_19,15
save lives,15
get coronavirus,15
making masks,15
mask covid19,15
mask one,15
every day,15
medical mask,15
hong kong,15
protect covid,15
mask like,15
requiring masks,15
masks people,15
public health,15
without wearing,15
get tested,15
mask wash,15
gon na,15
let us,15
like wearing,15
sb county,15
mask violators,15
fix face,15
mask bottleneck,15
trump tested,15
serves meals,15
masks deal,14
sen rand,14
cuts hole,14
coronavirus man,14
weighs requiring,14
people leave,14
mask taking,14
wearing cloth,14
put face,14
go back,14
help fight,14
healthcare workers,14
mask says,14
red wings,14
wings helped,14
helped general,14
general motors,14
motors fix,14
please wear,14
new cost,13
cost details,13
details emerge,13
emerge california,13
fight coronavirus,13
dollar security,13
exposed covid,13
19 deaths,13
make easier,13
mask masks,13
mask less,13
washing hands,13
distance wear,13
taking care,13
person covid,13
task force,13
new mask,13
keep distance,13
homemade mask,13
via nbcnews,13
novel coronavirus,13
mask order,13
trump supporter,13
healthy people,13
infected covid,13
mike pence,13
mask read,13
detroit red,13
start wearing,13
start fight,13
catch covid,12
mouth nose,12
guard coronavirus,12
social media,12
ohio state,12
war coronavirus,12
via youtube,12
deal los,12
oklahoma city,12
spread virus,12
surgical masks,12
year old,12
protect coronavirus,12
home stay,12
coronavirus via,12
19 one,12
mask made,12
due covid,12
mask hope,12
protective masks,12
without face,12
mask foxnews,12
wear cloth,12
around mask,12
direct contact,12
arrested coronavirus,12
mask brawl,12
brawl says,12
says start,12
mask production,11
got coronavirus,11
common sense,11
half billion,11
billion dollars,11
starting monday,11
take mask,11
putting mask,11
virus mask,11
woman cuts,11
hole mask,11
new coronavirus,11
honeywell factory,11
mask arizona,11
95 mask,11
mask quiet,11
quiet deal,11
mask makes,11
mask every,11
back work,11
tested covid,11
masks mask,11
would wear,11
wear damn,11
healthy need,11
care person,11
new normal,11
guard shot,11
distancing wearing,11
look like,11
chinese electric,11
electric car,11
help prevent,11
mask distribution,11
everyone wearing,11
covid_19 mask,11
amid coronavirus,11
facemask covid19mask,11
covid19mask stayhome,11
stayhome clothfacemask,11
masks protect,11
virus process,11
process declaration,11
ras 2018,11
2018 our_right_ras2018result,11
every time,11
disposable face,11
coronavirus era,11
west wing,11
make look,11
mask personal,11
supporter arrested,11
says wearing,10
said wearing,10
mask even,10
19 real,10
california wires,10
wires mask,10
mask dealer,10
dealer half,10
dollars claws,10
claws back,10
distancing amp,10
mask work,10
says wore,10
