covid 19,1817
wear mask,904
mask wearing,379
social distancing,378
wearing mask,375
wearing masks,349
wear masks,340
distancing mask,262
coronavirus restrictions,260
wearing work,257
restrictions achieve,247
strict spain,244
october mandatory,230
outdoors despite,228
achieve nothing,212
spain masks,204
masks lockdowns,203
truth covid,199
19 restrictions,198
spanish cases,198
told truth,198
lockdowns vaccines,191
face mask,190
restrictions masks,190
overcome covid,188
restrictions truth,188
truth clearly,188
clearly simply,188
simply explained,188
explained biochemist,188
biochemist etc,188
etc restrictions,188
vaccines harmful,188
harmful ineffective,188
ineffective unnecessary,188
triggernometry told,188
unnecessary youtube,187
youtube triggernometry,187
work boris,180
despite spanish,176
stay home,170
must worn,169
inside outdoors,165
mandatory distancing,164
face masks,160
throughout october,158
wash hands,152
mask mandate,137
mask mandates,134
rose sharply,132
social distance,130
worn inside,127
masks must,126
lockdown spain,118
cases rose,108
sharply throughout,100
stay safe,98
cases skyrocketed,96
boris coronavirus,96
masks mandatory,95
masks social,92
mandatory social,91
spread covid,90
spanish lockdown,90
extremely strict,89
please wear,85
indoors outdoors,85
mask social,79
people wear,77
anti maskers,75
masks work,74
spread covid19,71
spain extremely,68
face coverings,68
slow spread,67
arbitrary coronavirus,66
skyrocketed throughout,64
19 cases,64
particularly strict,64
two weeks,64
many people,63
uk coronavirus,63
mask stay,63
work uk,62
boris arbitrary,62
lockdown strict,62
wear damn,60
still wear,59
anti mask,59
damn mask,56
cloth mask,56
taken seriously,55
skyrocketed october,54
weeks covid,53
physical distancing,52
without masks,52
seriously wearing,52
many others,52
stop spread,51
cases spain,51
realdonaldtrump overcome,51
numerous conservatives,51
conservatives lied,51
lied past,51
past two,51
19 namely,51
namely poilievre,51
poilievre harder,51
harder allision,51
allision sloan,51
sloan many,51
others conservativeslieaboutcovid,51
conservativeslieaboutcovid even,51
even toole,51
toole taken,51
masks cpc,51
lie repeatedly,51
covid19 coronavirus,48
lockdown particularly,48
without mask,47
spread coronavirus,47
cpc reckless,47
reckless lie,47
wear coronavirus,46
coronavirus face,46
wear face,45
mask seeing,45
19 pandemic,45
spain face,44
coverings must,44
worn indoors,44
people wearing,44
despite cases,44
masks amp,43
save lives,43
coronavirus covid19,42
mask wash,42
seeing insane,42
prevent spread,42
mandatory indoors,41
coronavirus protection,41
calls masks,40
wearing face,40
absolutely nothing,40
shot calls,39
masks taboo,39
washing hands,39
bolsonaro rejects,38
spain lockdown,38
mandatory inside,38
bandanas scarves,38
brazil bolsonaro,37
rejects covid,37
achieve absolutely,37
19 shot,36
mask keep,35
masks people,35
looks like,35
use masks,35
make us,35
19 spread,35
keep distance,34
mask amp,34
mask covid,34
put mask,34
tested positive,34
powerful weapon,34
wore mask,33
wore masks,33
spain strict,33
coronavirus wearing,33
masks coronavirus,33
masks offer,33
study good,33
good cloth,33
mask powerful,33
weapon coronavirus,33
distancing wearing,31
wear fucking,31
fucking mask,31
act responsibly,31
life covid,31
get sick,31
loved ones,31
19 vaccine,31
nothing make,31
public health,31
protection others,31
need wear,30
mask coronavirus,30
canadian inventor,30
inventor says,30
says many,30
379 biovyzr,30
biovyzr covid,30
19 helmet,30
helmet masks,30
offer far,30
far less,30
less coronavirus,30
others bandanas,30
scarves shields,30
people must,29
responsibly wear,29
spain skyrocketed,29
mask protect,29
hands frequently,28
especially bad,28
home wear,28
distance wash,28
survival rate,28
people livelihoods,28
easiest way,28
take precaution,28
us poorer,28
sharply october,28
mask covid19,27
covid19 cases,27
pakistan avoid,27
avoid closing,27
closing factories,27
factories businesses,27
businesses people,27
livelihoods linked,27
linked easiest,27
way take,27
precaution coronavirus,27
must act,27
cloth masks,27
people prefer,27
prefer 379,27
shields especially,27
bad job,27
mask keeping,26
mask properly,26
dr fauci,26
masks pmik,26
amp social,26
coronavirus cases,25
new cases,25
covid19 pandemic,25
positive covid,25
protect others,25
masks help,25
19 spreading,24
get covid,24
always wear,24
masks public,24
mask public,24
gon na,24
cloth face,24
coronavirus going,24
going away,24
covid19 mask,24
feet apart,24
use mask,24
masks protect,23
masks covid19,23
safe wear,23
people still,23
pmik wearmasksavelives,23
outdoors even,23
even restrictions,23
lockdowns masks,23
hand washing,23
mandate masks,23
healthcare workers,23
mask use,23
care whether,23
whether looks,23
like alien,23
alien invasion,23
19 cdc,23
taking simple,22
simple precautions,22
every day,22
socially distance,22
said coronavirus,22
spain rose,22
fight covid,22
invasion canadian,22
safe taking,21
avoiding crowds,21
covid19 wearamask,21
much possible,21
lockdown extremely,21
19 infection,21
second wave,21
please stay,21
covid covid19,20
well ventilated,20
practice social,20
thanks trump,20
trump sycophants,20
sycophants trump,20
trump lost,20
lost cheered,20
cheered said,20
away mocked,20
mocked mask,20
wearing constantly,20
constantly interrupted,20
interrupted first,20
first debate,20
debate attacked,20
attacked dr,20
fauci kept,20
kept cheering,20
cheering thank,20
thank dumbass,20
restrictions spanish,20
masks covid,20
pandemic coronavirus,20
masks stay,20
they care,20
lockdowns mask,20
99 survival,20
precautions physical,19
mask people,19
mask get,19
brutal police,19
police beating,19
french man,19
man hints,19
hints frightening,19
frightening future,19
future locked,19
locked down,19
down europe,19
masks effective,19
small businesses,19
refuse wear,19
hands wear,19
contract covid,19
mask face,19
mask sight,19
19 deaths,19
keeping rooms,18
rooms well,18
ventilated avoiding,18
beating maskless,18
maskless french,18
coronavirus pandemic,18
distance stay,18
distance wear,18
mask even,18
coronavirus amp,18
mask correctly,18
make sure,18
spread virus,18
pcr test,18
masks prevent,18
anti masker,18
us wear,18
virus 99,18
000 deaths,18
healthylifestyle healthyliving,18
healthyliving healthychoices,18
healthychoices disabilities,18
disabilities wearamaskplease,18
wearamaskplease deaf,18
deaf deaf,18
deaf lipreading,18
lipreading lipreaders,18
lipreaders hardofhearing,18
hardofhearing hearingloss,18
christmas2020 xmas,18
19 wear,17
going get,17
19 virus,17
infected coronavirus,17
coughing bent,17
bent elbow,17
help stop,17
masks etc,17
united states,17
mask go,17
help fight,17
best time,17
time replace,17
mayo clinic,17
wears mask,17
hearingloss christmas2020,17
support indieartist,17
community stay,16
crowds cleaning,16
cleaning hands,16
high risk,16
wearamask covid19,16
n95 mask,16
wearing one,16
maintain social,16
hands coughing,16
mask please,16
everyone wearing,16
died covid,16
look spain,16
home much,16
wear one,16
spain particularly,16
staying home,16
distancing masks,16
reduce spread,16
would wear,16
health care,16
temple life,16
19 temple,16
temple administration,16
administration adjustment,16
adjustment meet,16
meet social,16
social behavior,16
behavior changes,16
changes author,16
author nano,16
nano organic,16
organic elixir,16
elixir life,16
life pandemic,16
coronavirus contagion,16
contagion infection,16
infection stayhome,16
stayhome savelife,16
savelife facemask,16
facemask virtual,16
virtual meditationhall,16
south dakota,16
replace masks,16
covid19 fear,16
spreading community,15
due covid,15
covidー19 covid19,15
distance others,15
covid19 covid,15
mask work,15
public places,15
elbow tissue,15
refusing wear,15
sars cov,15
help slow,15
september mandatory,15
child forced,15
surgical masks,15
others wear,15
close contact,15
n95 masks,15
common sense,15
hands stay,15
coronavirus best,15
via zazzle,15
yes mask,15
mandates worked,15
cdc research,15
deaths 1k,15
fear stupidity,15
stupidity must,15
must end,15
end virus,15
rate mandate,15
distancing lockdown,15
lockdown release,15
release kraken,15
kraken covid19,15
covid19 vaccine,14
coronavirus covidー19,14
wo take,14
death threats,14
threats overcrowding,14
overcrowding masks,14
mask practice,14
please read,14
wo wear,14
nothing buffoon,14
forced infected,14
amp contract,14
masks wishes,14
wishes save,14
save money,14
money vaccines,14
vaccines blind,14
blind spot,14
spot deliberate,14
deliberate herdimmunity,14
herdimmunity strategy,14
strategy ukgovernment,14
ukgovernment safeedforall,14
mandatory masks,14
super spreader,14
deadly virus,14
statewide mask,14
proof mask,14
worked slow,14
research kansas,14
getting covid,13
getting sick,13
corona virus,13
mask wearers,13
socially distanced,13
keep safe,13
prevent covid,13
stayhome staysafe,13
covid cases,13
cdc recommends,13
limit spread,13
preventing covid,13
19 people,13
even vaccine,13
death toll,13
people dying,13
masks stop,13
million covid,13
immune system,13
football games,13
mask still,13
mandates help,13
spread futurism,13
futurism ico,13
physically distance,13
kansas shows,13
get vaccine,12
mask helps,12
19 patients,12
face shields,12
insane smartnews,12
mask study,12
facemask covid19,12
19 real,12
nose mouth,12
use cloth,12
coronavirus covid,12
19 hoax,12
maskup covid19,12
mask avoid,12
despite number,12
number cases,12
get tested,12
still wearing,12
clean hands,12
safeedforall herdimmunityismurder,12
follow covid,12
mask distance,12
american people,12
help us,12
vaccine available,12
fight covid19,12
mask protesters,12
healthy people,12
strict lockdown,12
mask stop,12
19 masks,12
six feet,12
holiday season,12
friends family,12
boris tyrannical,12
tyrannical coronavirus,12
high school,12
anyone else,12
masks times,12
available masks,12
mask via,12
covid19 masks,12
shows cnn,12
rolling rolling,12
st lucia,12
everyone wears,12
mask facemask,12
covid19 maskmandate,12
covid coronavirus,11
new york,11
covid19 maskup,11
mask less,11
op ed,11
mask like,11
distancing amp,11
masks worn,11
covid19 wear,11
masks still,11
masks consistently,11
masks keep,11
mask nose,11
19 wearing,11
people getting,11
masks required,11
covid facemask,11
social media,11
take care,11
protect covid,11
think masks,11
due covid19,11
damn masks,11
stay healthy,11
masks limit,11
flatten curve,11
via youtube,11
people without,11
masks even,11
longcovid school,11
school masks,11
covid even,11
mask socially,11
prime minister,11
keeping distance,11
people need,11
people covid,11
front line,11
covid19 spread,11
