gram,counts
disposable,4487
louie,4471
july,4443
information,4427
campaign,4427
soon,4414
mayor,4403
head,4367
matter,4341
covidiots,4333
arbitrary,4288
canada,4279
means,4249
nurses,4231
dangerous,4226
guidance,4223
sign,4199
50,4192
masks4all,4184
wait,4132
research,4123
caught,4116
holiday,4114
updates,4084
smallbusiness,4076
link,4074
chinese,4064
become,4064
share,4064
kind,4062
apart,4056
diy,4053
body,4034
task,4023
record,3991
super,3956
novel,3948
patient,3940
needed,3939
nurse,3918
georgia,3888
issues,3861
story,3840
google,3833
hours,3832
30,3749
protecting,3730
residents,3723
herman,3719
counties,3718
production,3704
telling,3687
debate,3682
essential,3672
guess,3665
thanksgiving,3654
saw,3652
students,3640
keeping,3624
fake,3624
cotton,3621
staying,3609
no,3586
putting,3560
zazzle,3558
food,3540
human,3526
general,3509
vaccination,3501
shut,3497
rep,3474
eyes,3464
sale,3452
grocery,3451
shield,3442
helps,3440
wholesale,3432
latest,3417
supplies,3401
ok,3389
respiratory,3373
finally,3370
ohio,3368
requirement,3348
unmasked,3311
team,3303
95,3297
report,3289
looking,3264
employees,3255
loved,3240
reusable,3233
front,3168
took,3158
touch,3155
shopping,3154
arizona,3141
photo,3140
price,3134
behind,3131
viruses,3126
unless,3123
election,3107
gon,3102
friend,3094
gaetz,3083
tulsa,3081
money,3080
factory,3080
event,3078
supply,3073
thousands,3061
europe,3060
idiot,3060
protest,3054
shirts,3045
according,3039
clean,3031
supporters,3006
coronavirusoutbreak,3000
comes,2992
maskon,2959
confirmed,2955
coughing,2952
update,2941
able,2935
spike,2905
11,2903
single,2903
wearers,2901
wearadamnmask,2884
rule,2877
whether,2874
system,2871
cough,2864
season,2862
particles,2852
amazon,2844
york,2843
stores,2841
studies,2828
idiots,2821
immunity,2808
works,2807
citizens,2786
safely,2764
vaccinated,2760
prevention,2749
members,2722
matt,2714
rates,2683
within,2680
michigan,2661
reported,2634
recommends,2629
personal,2628
immune,2628
dakota,2618
requirements,2614
ass,2606
fabric,2605
tips,2583
water,2578
sewing,2577
service,2571
walking,2568
goes,2562
change,2553
early,2551
floor,2549
killed,2534
clear,2533
company,2526
seeing,2518
breaking,2516
respirator,2515
governors,2509
99,2477
either,2475
calls,2472
covid2019,2464
frequently,2456
15,2441
scientists,2435
office,2429
group,2426
exposed,2423
knew,2418
requiring,2410
global,2403
events,2398
washington,2396
set,2368
researchers,2361
respect,2347
month,2347
online,2343
fashion,2334
refuses,2332
catching,2329
question,2320
govt,2315
hygiene,2301
emergency,2299
killing,2294
alone,2277
paper,2270
three,2269
rising,2269
restaurants,2258
heard,2257
protocols,2247
cdcgov,2235
guys,2233
ply,2232
act,2229
young,2218
crowds,2218
washable,2215
wuhan,2206
asking,2202
contracted,2199
86,2198
bbc,2195
receive,2192
north,2186
send,2183
talking,2183
congressman,2169
icu,2164
rest,2160
smartnews,2155
friday,2153
weekend,2149
administration,2144
wh,2143
started,2121
effect,2118
fda,2111
protests,2109
12,2097
walk,2086
app,2086
3m,2076
kansas,2069
nhs,2056
rights,2047
spaces,2047
true,2046
quality,2045
approved,2043
italy,2039
potus,2035
immediately,2032
monday,2031
sad,2030
soap,2028
wish,2026
necessary,2020
population,2018
recently,2011
happy,2009
london,2006
men,2001
maga,1996
atlanta,1993
search,1991
june,1988
cool,1976
bars,1975
responsible,1973
viral,1963
seems,1955
proper,1947
size,1942
18967494556,1942
leader,1929
sorry,1918
dont,1907
united,1900
bought,1894
ford,1886
holidays,1881
celebrate,1878
april,1878
buying,1871
wearer,1871
left,1869
hit,1868
kemp,1867
stock,1861
wife,1859
easy,1856
room,1853
wonder,1849
2021,1847
etsy,1840
touching,1835
antibodies,1832
claims,1832
vice,1823
contagious,1821
bring,1812
starting,1811
compulsory,1811
sex,1805
accused,1802
newyear,1799
rt,1799
fox,1794
in,1786
spreader,1786
unable,1772
taiwan,1769
questions,1768
youtube,1763
hoping,1763
hotspot,1755
you,1752
leadership,1750
panic,1747
idea,1747
fun,1744
pm,1741
patriotic,1731
ur,1718
leaders,1714
coronaoutbreak,1711
looks,1711
hong,1709
professional,1696
mocking,1694
giuliani,1691
takes,1681
chris,1673
worst,1673
negative,1670
defeated,1669
kong,1662
given,1658
sew,1656
channel,1651
piracy,1651
ushoparea,1650
cities,1650
universal,1649
plant,1647
fedex,1645
crowding,1631
200,1630
foxnews,1629
shops,1624
comfortable,1604
everywhere,1604
based,1604
cold,1603
rudy,1597
14,1592
red,1588
japan,1587
nobody,1586
lie,1585
oxygen,1580
reopening,1580
diagnosis,1577
recommend,1569
fighting,1569
gathering,1567
lady,1551
copy,1551
car,1548
shortages,1544
joke,1543
among,1542
gone,1539
facial,1538
families,1536
message,1536
danish,1533
area,1533
abbott,1530
talk,1527
attended,1524
press,1521
protesters,1520
several,1509
worker,1498
successfully,1488
gold,1483
defense,1479
security,1474
delivered,1462
nearly,1456
out,1455
australia,1454
preventing,1450
costco,1446
ｕｓｈｏｐａｒｅａ,1444
equipment,1444
meeting,1443
low,1442
dayswhatsapp,1430
tuesday,1421
running,1417
chance,1414
donate,1410
johnson,1408
facebook,1407
purchase,1400
came,1393
crowded,1384
urges,1383
cards,1381
donated,1375
namo,1362
surges,1355
smart,1353
designs,1347
senator,1343
bus,1343
course,1342
widespread,1331
bill,1328
lies,1324
areas,1322
hearing,1322
utah,1322
flight,1319
contracting,1316
announced,1315
karen,1314
70,1314
later,1312
fines,1311
blocking,1306
coronavirusupdates,1304
abc,1301
capitol,1299
night,1299
searches,1294
mocked,1292
arrested,1291
child,1288
france,1287
faces,1284
finds,1283
hospitalized,1283
alberta,1278
truth,1273
recommended,1272
bans,1271
clothing,1268
art,1267
cuomo,1265
stayathome,1260
practise,1256
unsubscribe,1256
wednesday,1255
75,1255
wuhanvirus,1249
flotus,1249
pelosi,1245
24,1244
whitehouse,1244
happen,1243
narendramodi,1240
elect,1236
cure,1233
late,1229
market,1229
asian,1225
step,1225
chief,1223
alcohol,1218
halloween,1216
fears,1212
print,1212
sir,1210
forced,1210
expert,1208
kits,1206
aids,1205
deal,1203
walter,1202
lead,1195
pass,1195
winter,1194
choice,1192
nation,1187
sanitize,1185
pro,1183
germany,1178
replouiegohmert,1176
and,1175
pattern,1172
transport,1166
total,1166
waves,1164
senate,1164
nationwide,1164
bc,1164
nygovcuomo,1162
judge,1160
reed,1160
former,1154
epidemic,1154
politico,1151
bolsonaro,1145
lots,1141
info,1135
design,1134
added,1132
repmattgaetz,1130
literally,1129
ready,1127
director,1121
unite2fightcorona,1120
spreads,1120
shirt,1119
tours,1119
responsibility,1118
worried,1115
paul,1112
pls,1111
remove,1110
past,1110
reports,1106
taken,1099
showing,1098
infect,1097
proceeds,1097
ventilator,1095
situation,1095
25,1093
blue,1091
pastor,1089
mug,1087
idaho,1084
2019ncov,1082
melbourne,1080
regularly,1079
issued,1077
miami,1077
leaving,1077
treatment,1075
manchester,1072
attending,1070
prints,1069
