gram,counts
covid 19,71641
wear mask,57067
wear masks,21718
wearing mask,20821
social distancing,17787
wearing masks,16290
mask wearing,14868
mask mandate,13080
wash hands,10123
face masks,9616
stay home,9590
social distance,7776
face mask,7305
coronavirus restrictions,7210
distancing mask,7188
wearing work,6594
restrictions achieve,6280
strict spain,6215
mask mandates,6154
please wear,6080
outdoors despite,5629
masks work,5606
achieve nothing,5511
spain masks,5340
19 cases,5173
spanish cases,5022
people wear,4700
masks social,4582
inside outdoors,4435
october mandatory,4378
work boris,4351
mask social,4291
must worn,4223
despite spanish,4178
mandatory distancing,3996
damn mask,3715
rose sharply,3691
stay safe,3675
mask wash,3543
wear damn,3522
anti maskers,3477
spread covid,3452
masks mandatory,3355
mask stay,3353
without mask,3331
masks must,3282
worn inside,3232
spread covid19,3223
throughout october,3118
lockdown spain,3060
cases rose,2860
statewide mask,2821
wear face,2752
people wearing,2752
stop spread,2689
anti mask,2662
sharply throughout,2634
public health,2623
mandatory social,2579
masks protect,2575
save lives,2490
coronavirus cases,2474
without masks,2442
cases skyrocketed,2420
spanish lockdown,2353
extremely strict,2259
wearing face,2249
boris coronavirus,2237
masks amp,2223
slow spread,2211
mask covid19,2197
home wear,2191
covid19 coronavirus,2124
covid19 cases,2106
spread coronavirus,2101
face coverings,2066
many people,2038
indoors outdoors,1980
19 pandemic,1954
refuse wear,1942
keep distance,1880
mask amp,1872
protect others,1859
100 days,1812
washing hands,1809
mask keep,1808
new cases,1794
spain extremely,1794
masks public,1781
mask protect,1749
tested positive,1749
uk coronavirus,1748
work uk,1737
fucking mask,1723
distance wash,1710
wore masks,1705
arbitrary coronavirus,1699
skyrocketed throughout,1680
white house,1666
mask use,1660
wear fucking,1637
loved ones,1626
19 vaccine,1609
joe biden,1607
prevent spread,1606
mask public,1595
particularly strict,1595
socially distance,1594
coronavirus covid19,1592
covid19 wearamask,1575
lockdown strict,1565
mask covid,1562
boris arbitrary,1555
august mandatory,1532
positive covid,1524
physical distancing,1522
put mask,1490
coronavirus pandemic,1482
masks covid19,1472
gon na,1470
practice social,1450
health care,1388
wore mask,1377
masks covid,1369
masks help,1363
covid19 pandemic,1334
healthcare workers,1321
cases spain,1314
get covid,1310
lockdown particularly,1283
americans wear,1281
mask people,1258
cloth masks,1252
need wear,1247
mandatory inside,1238
new covid,1231
distance wear,1212
danish study,1181
says masks,1172
make sure,1165
covid19 masks,1140
super spreader,1133
masks coronavirus,1123
mandate masks,1122
mask wearers,1116
safe wear,1110
despite cases,1107
task force,1103
throughout august,1089
dr fauci,1084
north dakota,1084
please stay,1083
mandatory indoors,1082
president elect,1081
19 mask,1069
south dakota,1064
people still,1058
n95 masks,1047
get tested,1036
coverings must,1030
hand washing,1027
use masks,1024
getting covid,1023
distancing masks,1019
everyone wear,1019
19 infection,1018
mask please,1015
surgical masks,1012
spread virus,1011
every day,1000
spain face,986
hands wear,982
died covid,979
wearamask covid19,978
cdc says,961
staying home,953
wears mask,951
wear one,949
mask properly,948
covid19 mask,944
masks lockdowns,941
mask get,939
masks effective,935
worn indoors,922
united states,922
maintain social,920
mask wear,919
common sense,918
refusing wear,914
spain strict,914
spain lockdown,910
masks stop,910
absolutely nothing,900
still wear,898
make us,893
hand sanitizer,889
amp social,887
distancing wearing,886
cloth face,884
second wave,876
