gram,counts
mask,238596
covid,99636
19,90563
wear,76720
coronavirus,76410
wearing,57750
masks,37169
face,35432
people,32419
trump,21407
virus,19597
amp,18882
covid19,16753
get,16751
spread,16676
one,16385
public,14662
like,12632
pandemic,12538
social,12386
cases,11859
us,11686
mandate,11508
new,11216
please,10386
would,10311
protect,10272
stop,10265
positive,9914
distancing,9568
via,9563
says,9504
without,9405
health,9086
help,9051
time,8782
need,8654
go,8441
everyone,8410
know,8362
even,8332
others,8183
stay,8092
still,8004
hands,7971
could,7929
covid_19,7906
make,7886
corona,7476
realdonaldtrump,7315
think,7177
want,7166
keep,7161
home,7159
use,7126
said,7036
safe,6905
going,6860
anti,6829
distance,6823
take,6780
news,6688
state,6539
re,6435
see,6365
say,6252
many,6237
also,6131
right,5923
around,5912
work,5910
gohmert,5877
today,5578
day,5571
risk,5523
wash,5507
first,5364
order,5296
deaths,5255
mandatory,5195
infected,5182
way,5097
died,5077
good,5051
governor,5023
refused,5019
put,4980
wears,4962
prevent,4877
may,4867
care,4858
got,4814
back,4809
president,4788
let,4774
wearamask,4764
000,4633
getting,4583
tests,4480
louie,4471
tested,4430
man,4407
cdc,4396
gov,4349
medical,4306
control,4273
mandates,4232
well,4223
lives,4210
really,4182
avoid,4063
states,4054
someone,4039
florida,4033
person,4028
county,4025
hoax,3999
months,3974
wore,3965
world,3952
much,3941
americans,3905
every,3889
life,3871
science,3791
better,3775
rules,3700
facemask,3698
spreading,3645
death,3629
covid__19,3604
best,3591
thing,3579
since,3560
ca,3559
family,3516
must,3509
weeks,3493
made,3481
anyone,3447
hospital,3371
sick,3357
away,3338
believe,3327
die,3305
days,3299
covering,3298
real,3294
live,3238
look,3234
texas,3232
cain,3173
rally,3138
nose,3123
never,3122
protection,3121
test,3107
government,3100
country,3096
cloth,3091
part,3054
save,3050
two,3047
read,3030
facemasks,3020
georgia,3001
dr,2978
safety,2965
school,2946
damn,2944
n95,2911
slow,2905
maskup,2877
city,2845
vaccine,2838
july,2802
another,2799
follow,2791
stupid,2761
police,2720
last,2714
house,2707
sure,2686
local,2683
might,2675
saying,2672
fight,2663
flu,2658
hand,2646
statewide,2587
went,2573
reduce,2566
tell,2553
america,2550
nothing,2537
herman,2533
case,2529
due,2529
told,2528
refuse,2522
infection,2522
outside,2514
week,2514
year,2501
yet,2498
show,2498
effective,2496
washing,2488
gop,2488
old,2476
important,2458
fucking,2440
open,2436
come,2425
testing,2422
wo,2422
community,2398
fauci,2389
remember,2381
ve,2357
kids,2348
free,2346
times,2310
mouth,2280
long,2275
reason,2260
schools,2256
little,2253
simple,2244
give,2243
making,2227
disease,2220
next,2218
political,2199
continue,2190
2020,2178
yes,2171
10,2171
store,2165
great,2165
always,2163
something,2161
republican,2148
less,2148
transmission,2147
refusing,2142
experts,2137
hard,2135
love,2129
feel,2128
visit,2126
rep,2121
air,2119
least,2118
ohio,2115
enough,2109
place,2094
donald,2074
hope,2057
called,2045
things,2027
high,2020
numbers,2020
children,2011
point,1993
issue,1991
workers,1988
american,1988
maybe,1986
actually,1983
required,1973
ll,1968
support,1953
taking,1936
100,1928
enforce,1922
likely,1912
seen,1911
cnn,1906
evidence,1901
rate,1895
staysafe,1892
using,1892
bad,1886
usa,1886
instead,1878
guidelines,1875
worn,1864
dies,1863
study,1858
find,1853
staff,1851
lockdown,1848
tulsa,1837
practice,1836
seriously,1832
makes,1822
coverings,1818
friends,1801
number,1798
droplets,1795
daily,1793
video,1792
orders,1791
already,1788
start,1788
business,1786
national,1779
mayor,1778
biden,1777
symptoms,1772
else,1762
dead,1760
wrong,1752
trying,1742
end,1739
close,1724
self,1715
healthy,1704
learn,1694
patients,1691
atlanta,1669
dying,1652
wearadamnmask,1652
businesses,1637
non,1626
needs,1623
fact,1619
understand,1619
fine,1617
big,1616
kemp,1614
finally,1600
shows,1592
policy,1586
possible,1582
shop,1572
thank,1565
lot,1559
together,1546
customers,1540
check,1537
na,1529
far,1512
kill,1510
body,1503
law,1489
selfish,1471
amid,1467
serious,1443
physical,1435
including,1434
doctor,1433
full,1433
white,1401
million,1388
doctors,1379
ever,1374
shops,1360
woman,1357
sense,1354
places,1346
inside,1336
anything,1315
officials,1290
cause,1286
years,1279
done,1275
measures,1267
catch,1264
watch,1259
etc,1248
require,1240
response,1238
20,1238
god,1234
problem,1233
issues,1228
data,1227
try,1226
common,1224
oh,1223
ask,1222
ones,1203
article,1202
worse,1197
contact,1197
used,1191
countries,1185
replouiegohmert,1176
protects,1173
requirement,1164
shit,1159
it,1149
defense,1122
asked,1120
matter,1119
hotspot,1117
antibodies,1117
uk,1115
gets,1108
starting,1105
breathe,1104
cover,1098
increase,1087
thought,1085
properly,1079
found,1073
probably,1067
outbreak,1065
following,1065
requirements,1053
mean,1051
post,1039
surge,1038
the,1034
feet,1027
fuck,1026
caught,1020
working,1006
crowding,997
quarantine,996
requiring,992
patriotic,979
story,976
china,974
thinkvaccine,970
economy,968
everything,968
freedom,967
small,958
helps,954
month,953
top,950
surgical,946
politico,943
buy,941
latest,941
information,941
become,939
across,936
california,925
spaces,912
ago,902
despite,885
ppe,884
means,869
attended,865
head,851
effect,849
guy,847
comes,845
stores,843
contracted,842
counties,839
party,835
cities,819
updates,817
research,806
media,794
particles,788
brian,787
leave,785
senator,780
indoor,774
walmart,770
breathing,762
socialdistancing,761
listen,757
viral,755
call,751
young,748
lost,737
advice,735
oklahoma,732
kind,732
job,713
schoolreopening,701
black,698
shut,695
often,692
vote,690
coming,684
four,682
military,681
hit,676
idiot,671
infections,669
24,668
dangerous,665
force,664
congressman,663
available,660
smartnews,656
shield,642
yesterday,637
wants,632
govkemp,630
record,629
ppl,626
hey,624
photo,622
campaign,616
thanks,608
normal,605
trumpvirus,604
breaking,594
presidential,592
rule,588
residents,588
wednesday,584
sues,584
filter,582
rise,578
travel,577
precautions,573
leaders,572
especially,568
studies,567
shopping,559
covidー19,556
95,556
though,552
united,549
catching,548
melbourne,546
briefings,545
according,543
candidate,542
oxygen,540
friday,538
attending,538
took,535
rights,535
reusable,533
england,532
covidiots,529
different,526
students,523
change,522
deadly,519
whole,519
republicans,512
restrictions,507
gt,504
friend,502
ok,501
example,501
reported,500
members,494
protecting,492
capitol,491
walter,489
goes,487
human,484
socially,483
walking,482
pelosi,481
enforcing,481
late,476
vet,476
veteran,475
hearing,472
eight,469
march,468
fake,464
army,461
diagnosis,456
putting,456
single,454
reed,449
chance,448
population,447
three,446
able,445
almost,442
group,441
soon,440
airborne,439
citizens,439
healthcare,437
asking,434
150,434
general,431
per,430
monday,430
official,428
idiots,428
asymptomatic,428
forget,427
abc,427
15,427
director,426
stitt,419
bars,417
folks,417
37,412
report,412
share,407
telling,403
ass,402
80,401
within,400
announced,397
wait,396
former,395
barr,392
protest,390
easy,389
claims,387
restaurant,385
washington,383
either,382
protesters,379
governors,379
wsj,377
costco,376
sad,375
alabama,371
restaurants,370
calls,370
30,369
federal,369
guess,368
fear,368
miami,367
hear,362
june,357
area,357
congress,356
question,356
louis,348
nearly,347
walk,346
respiratory,346
killed,345
second,345
fighting,344
service,342
