gram,counts
trump removes mask,8840
return white house,8483
removes mask upon,8395
white house hospital,8240
mask upon return,8235
upon return white,8233
recovers covid 19,8230
aides say unsure,8229
president movements recovers,8229
quicktake aides say,8229
via quicktake aides,8229
watch trump removes,8229
unsure limit president,8229
say unsure limit,8229
limit president movements,8229
movements recovers covid,8229
reply stop opt,8226
covid 19 reply,8226
house hospital via,8226
stop opt notifications,8226
19 reply stop,8226
hospital via quicktake,8226
spread covid 19,3325
positive covid 19,3085
distancing mask wearing,2767
mask wearing work,2377
coronavirus restrictions achieve,2211
strict spain masks,2013
wearing work boris,1993
tested positive covid,1861
mandatory distancing mask,1692
september mandatory distancing,1632
despite spanish cases,1591
outdoors despite spanish,1581
boris coronavirus restrictions,1465
mask covid 19,1463
restrictions achieve nothing,1461
work boris coronavirus,1450
wear face mask,1407
mask wash hands,1373
covid 19 cases,1371
indoors outdoors despite,1321
mask social distancing,1290
wear mask wash,1276
social distancing mask,1247
get covid 19,1233
wearing face mask,1226
biden wearing mask,1193
hoping virus defeated,1179
channel hoping virus,1179
please wear mask,1174
mask social distance,1153
covid 19 mask,1149
wear damn mask,1139
dies covid 19,1139
wear mask social,1036
spain masks mandatory,1029
cases rose sharply,1019
masks must worn,1010
spain masks must,1005
covid 19 wear,929
lockdown strict spain,927
died covid 19,919
spanish cases rose,908
mask wearing hand,907
spanish cases skyrocketed,903
wearing hand washing,889
throughout september mandatory,833
covid 19 pandemic,825
recommends professional mask,819
google searches ushoparea,810
comfortable wear fda,810
wear fda approved,810
virus defeated comfortable,810
defeated comfortable wear,810
fda approved google,810
approved google searches,810
refused wear mask,807
professional mask purchase,800
mask purchase channel,800
purchase channel hoping,800
trump covid 19,789
masks mandatory indoors,777
mandatory indoors outdoors,776
covid 19 virus,769
mandatory social distancing,769
covid 19 wearing,762
september mandatory social,761
slow spread covid,754
19 wear mask,749
people wear mask,748
wear mask protect,740
national mask mandate,739
skyrocketed september mandatory,732
achieve absolutely nothing,728
restrictions achieve absolutely,728
got covid 19,718
covid 19 mocking,717
inside outdoors despite,712
rose sharply september,709
