gram,counts
mask,191988
masks,131249
wear,95525
covid,93900
covid19,82400
19,72525
wearing,58580
coronavirus,58009
people,54829
amp,35090
social,28660
distancing,26716
cases,26526
face,24643
work,21476
get,21407
please,20396
stay,19810
spread,18646
like,17703
us,17512
one,17353
home,17306
virus,16721
mandate,16401
distance,16294
trump,15614
still,15217
pandemic,15069
hands,14410
new,14145
need,13734
keep,13394
mandatory,13346
would,12909
health,12686
even,12669
lockdown,12626
public,12431
protect,12322
stop,12093
restrictions,12035
go,12028
spain,11989
safe,11736
wash,11373
vaccine,11365
others,11107
know,10932
help,10837
take,10805
many,10687
time,10407
nothing,10117
everyone,10099
going,10084
wearamask,9749
must,9632
without,9585
make,9176
see,9108
think,9047
cdc,9037
anti,8969
says,8735
state,8701
want,8645
care,8574
let,8520
could,8520
also,8516
deaths,8254
re,8226
use,8187
right,8122
day,8089
via,7940
good,7881
said,7768
around,7679
spanish,7663
outdoors,7576
lives,7433
mandates,7427
despite,7372
strict,7280
biden,7048
science,6810
news,6750
well,6738
americans,6737
family,6688
study,6647
today,6624
every,6599
worn,6565
inside,6509
say,6486
maskup,6478
achieve,6467
getting,6453
life,6392
realdonaldtrump,6344
days,6233
way,6222
much,6199
positive,6062
000,5924
back,5746
damn,5746
flu,5737
yet,5704
really,5687
since,5638
lockdowns,5575
medical,5546
got,5544
put,5522
months,5485
real,5445
away,5425
states,5376
first,5351
country,5336
risk,5312
may,5305
save,5296
sick,5247
follow,5194
never,5183
governor,5093
prevent,4926
control,4864
october,4862
throughout,4829
infection,4816
100,4794
part,4767
facemask,4748
gatherings,4743
live,4733
world,4729
believe,4724
better,4704
year,4687
continue,4687
thing,4631
boris,4608
ca,4589
rate,4525
indoors,4514
look,4439
death,4435
maskless,4388
another,4377
dr,4327
anyone,4257
protection,4251
person,4248
last,4239
workers,4224
avoid,4180
die,4158
fucking,4153
community,4124
facemasks,4120
government,4114
president,4076
someone,4070
numbers,4064
effective,4051
spreading,4043
hospital,4040
rules,4018
long,4015
hand,3971
tested,3964
measures,3942
safety,3938
made,3898
maskers,3862
tell,3858
maybe,3855
rose,3850
test,3846
died,3845
week,3828
wore,3827
free,3823
2020,3744
read,3741
testing,3739
sharply,3733
fight,3730
sure,3722
gov,3681
always,3680
come,3679
house,3667
infected,3664
masking,3648
order,3643
thanksgiving,3636
america,3631
ve,3619
gop,3603
10,3603
least,3585
etc,3578
enough,3560
remember,3538
outside,3537
wo,3498
hoax,3490
million,3475
county,3451
best,3382
great,3381
refuse,3380
patients,3376
less,3355
friends,3352
fauci,3343
two,3335
hospitals,3331
together,3330
stupid,3312
important,3311
high,3308
cloth,3292
hard,3290
next,3284
guidelines,3281
times,3270
open,3264
love,3225
reduce,3220
number,3206
skyrocketed,3198
give,3182
joebiden,3175
nose,3173
uk,3167
practice,3165
quarantine,3159
due,3158
close,3140
freedom,3126
yes,3118
told,3115
school,3107
thank,3104
transmission,3093
washing,3084
slow,3082
healthcare,3062
corona,3055
statewide,3048
case,3040
saying,3035
show,3010
already,3002
schools,2998
ones,2989
bad,2987
seriously,2975
end,2969
man,2968
vaccines,2963
dying,2955
actually,2955
taking,2953
watch,2938
possible,2891
large,2882
non,2882
ever,2880
staff,2876
support,2859
things,2847
feel,2843
surge,2833
businesses,2826
done,2817
hope,2816
simple,2809
ask,2804
start,2776
might,2766
evidence,2757
masked,2739
working,2731
daily,2709
data,2707
socially,2698
big,2680
folks,2678
weeks,2665
kids,2659
party,2651
physical,2588
20,2582
small,2575
political,2575
place,2564
needs,2559
n95,2556
disease,2555
extremely,2553
infections,2547
something,2540
lost,2536
making,2524
fuck,2521
oh,2516
contact,2495
tests,2493
christmas,2480
ll,2479
lot,2468
god,2454
indoor,2450
ppe,2428
usa,2415
including,2412
ppl,2401
full,2378
staysafe,2375
little,2369
makes,2367
following,2359
reason,2359
doctor,2357
understand,2356
election,2330
point,2323
city,2280
dead,2280
stayhome,2277
precautions,2229
listen,2224
thanks,2223
worse,2221
else,2219
coming,2172
covidiots,2171
feet,2152
instead,2144
per,2139
white,2128
business,2127
properly,2110
shit,2094
rise,2093
healthy,2090
na,2077
far,2071
local,2071
trying,2066
using,2043
children,2042
dakota,2001
fact,1980
march,1960
places,1946
doctors,1932
selfish,1928
anything,1925
unmasked,1916
sense,1915
old,1912
maintain,1908
almost,1900
american,1896
shows,1894
wrong,1888
republican,1883
plan,1875
common,1875
11,1863
mean,1845
available,1828
call,1825
seen,1822
holiday,1819
mouth,1818
job,1818
used,1817
air,1813
cause,1804
coverings,1801
travel,1800
required,1782
issue,1774
august,1754
