gram,counts
covid 19,89853
wear mask,55838
wearing mask,33942
face mask,21314
mask wearing,9838
mask mandate,9424
social distancing,7463
spread covid,6554
without mask,5807
mask public,5679
corona virus,5315
face masks,5058
wear face,5028
wear masks,4854
anti mask,4692
wearing face,4660
wash hands,4523
louie gohmert,4189
refused wear,4136
tests positive,4075
positive coronavirus,3761
wears mask,3725
mask mandates,3698
wearing masks,3655
positive covid,3530
social distance,3498
covid19 coronavirus,3497
coronavirus pandemic,3384
19 cases,3382
wore mask,3036
coronavirus mask,2856
please wear,2855
stay home,2836
mask social,2804
tested positive,2768
stop spread,2739
spread coronavirus,2697
mask order,2601
mask protect,2573
people wear,2555
coronavirus covid19,2542
mask coronavirus,2450
19 mask,2441
herman cain,2436
donald trump,2408
mask tests,2394
mask covid,2390
coronavirus cases,2351
face covering,2282
19 pandemic,2200
mask use,2168
mandatory mask,2166
statewide mask,2147
slow spread,2145
first time,2089
damn mask,2011
stay safe,1976
gohmert refused,1935
prevent spread,1909
washing hands,1892
refusing wear,1887
died covid,1846
protect others,1829
mask amp,1824
mask wash,1790
face coverings,1709
put mask,1707
get covid,1697
mask rules,1687
mask face,1667
covid coronavirus,1617
19 wearing,1607
wear one,1600
rep louie,1560
refuse wear,1553
trump wears,1529
wear damn,1511
19 wear,1502
mask stay,1483
people wearing,1398
public health,1387
coronavirus trump,1355
mask avoid,1313
get coronavirus,1308
many people,1272
mask help,1257
save lives,1254
covid19 covid,1248
president trump,1206
physical distancing,1204
need wear,1204
n95 mask,1177
mask wear,1166
mask orders,1159
use mask,1157
get infected,1155
mask requirements,1153
cdc says,1151
coronavirus hoax,1146
mask stop,1145
cloth mask,1131
year old,1128
georgia governor,1125
19 virus,1124
mask requirement,1116
fucking mask,1111
want wear,1108
mask keep,1104
pandemic virus,1093
trump biden,1082
masks work,1065
biden pandemic,1060
virus hotspot,1058
hotspot mask,1058
mask people,1058
new cases,1057
infected wearing,1054
mask policy,1045
avoid crowding,1033
reduce spread,1032
body make,1031
antibodies get,1031
crowding washing,1031
make antibodies,1031
self defense,1022
avoid infected,1021
stop thinkvaccine,1019
defense avoid,1019
thinkvaccine body,1019
hands self,1019
public first,1000
mask prevent,998
fight covid,995
protect covid,991
gon na,991
everyone wear,980
mask get,967
practice social,965
tulsa rally,948
could get,946
dr fauci,937
white house,928
coronavirus via,925
spread virus,919
mask go,919
everyone wears,908
must wear,904
help stop,901
distancing mask,901
wear fucking,882
news coronavirus,873
19 hoax,871
brian kemp,871
need mask,867
mask schoolreopening,854
masks help,848
health care,847
make sure,840
worn mask,831
mask protects,827
spreading covid,826
getting covid,820
united states,814
dies covid,810
wearing one,805
due covid,804
enforce mask,801
mask mask,800
mask covid19,785
got covid,783
mask one,782
everyone wore,782
trump finally,780
masks public,778
mask like,776
trump rally,776
face shield,764
cases covid,763
mask even,758
19 real,757
distance wear,756
public spaces,752
help prevent,749
mask via,746
says coronavirus,745
coronavirus covid,735
keep distance,735
cloth face,734
new covid,727
public places,722
help slow,720
mask please,718
called coronavirus,710
masks coronavirus,697
mask outside,688
mask save,685
refuses wear,683
surgical mask,681
common sense,679
19 test,678
19 deaths,671
mask would,671
