gram,counts
spread covid 19,6391
wearing face mask,3762
refused wear mask,3742
wear face mask,3726
positive covid 19,3391
covid 19 cases,3371
please wear mask,2509
covid 19 mask,2437
tests positive coronavirus,2390
mask tests positive,2383
covid 19 pandemic,2194
wear mask tests,2117
mask covid 19,1971
gohmert refused wear,1936
wear mask public,1758
died covid 19,1723
louie gohmert refused,1686
covid 19 wearing,1605
mask wash hands,1574
get covid 19,1556
rep louie gohmert,1548
refusing wear mask,1509
covid 19 wear,1497
wear damn mask,1459
wear mask wash,1412
mask social distance,1387
tests positive covid,1349
wears mask public,1334
statewide mask mandate,1329
mask social distancing,1309
tested positive covid,1278
19 wearing mask,1237
people wear mask,1228
wear mask social,1226
stop spread covid,1191
19 wear mask,1153
slow spread covid,1143
prevent spread covid,1126
covid 19 virus,1114
covid19 covid coronavirus,1104
trump biden pandemic,1060
coronavirus trump biden,1060
biden pandemic virus,1060
covid coronavirus trump,1058
infected wearing mask,1054
virus hotspot mask,1054
pandemic virus hotspot,1054
wearing mask avoid,1043
get infected wearing,1035
avoid crowding washing,1031
mask avoid crowding,1031
make antibodies get,1031
crowding washing hands,1031
body make antibodies,1031
antibodies get infected,1031
washing hands self,1019
thinkvaccine body make,1019
hands self defense,1019
defense avoid infected,1019
self defense avoid,1019
stop thinkvaccine body,1019
mask face covering,1017
wearing mask public,1007
public first time,1001
trump wears mask,997
mask public first,992
refuse wear mask,987
fight covid 19,958
protect covid 19,953
wear mask stay,951
practice social distancing,903
want wear mask,902
wear mask protect,897
covid 19 hoax,866
everyone wears mask,865
wear fucking mask,854
need wear mask,852
hotspot mask schoolreopening,849
face mask public,825
dies covid 19,824
tested positive coronavirus,799
spreading covid 19,797
people wear masks,785
positive coronavirus via,783
due covid 19,762
everyone wore mask,753
cases covid 19,747
covid 19 real,743
getting covid 19,741
everyone wear mask,740
got covid 19,735
help stop spread,734
wear mask keep,700
new covid 19,690
covid 19 test,676
called coronavirus hoax,668
help slow spread,665
gov brian kemp,663
covid 19 deaths,657
covid 19 still,655
covid 19 spread,647
people wearing mask,645
refuses wear mask,645
distance wear mask,642
stop covid 19,636
mask protect others,625
senator called coronavirus,623
distancing mask wearing,613
finally wears mask,611
reduce spread covid,609
coronavirus donald trump,605
distance wash hands,599
trump finally wears,586
donald trump finally,583
face mask rules,577
wear mask face,577
stop spread coronavirus,567
wear mask amp,563
wear mask coronavirus,560
social distancing mask,551
covid 19 via,549
coronavirus via politico,545
wear face masks,543
mask stay home,542
must wear mask,541
wear mask covid,535
contracted covid 19,535
weeks everyone wore,534
wear mask wear,530
wearing mask social,527
four eight weeks,525
bbc news coronavirus,524
die covid 19,524
georgia gov brian,521
would wear mask,519
wear mask practice,510
catch covid 19,509
coronavirus pandemic could,508
covid 19 face,506
wear mask go,504
wearing mask protect,502
wearing mask coronavirus,501
pandemic could control,500
help prevent spread,499
wash hands wear,490
georgia governor sues,489
hands wear mask,488
covid 19 patients,487
national mask mandate,487
could get coronavirus,486
home wear mask,486
safe wear mask,486
coronavirus hoax tests,486
hoax tests positive,485
mask us senator,483
wore mask starting,483
president donald trump,482
catching covid 19,482
control four eight,481
eight weeks everyone,480
get coronavirus control,479
caught covid 19,478
anti mask us,478
us senator called,478
could control four,477
mask wearing could,476
says coronavirus pandemic,476
wears face mask,475
amid coronavirus pandemic,472
contracting covid 19,471
infected covid 19,469
cdc says coronavirus,469
