gram,counts
mask,190203
covid,83198
19,77053
wear,71465
coronavirus,59442
wearing,47998
face,31208
people,30890
masks,30871
amp,16746
virus,15916
spread,15190
trump,14555
covid19,14546
cases,13394
public,13107
one,12784
social,12729
get,12551
like,11720
please,10216
distancing,10045
new,9810
protect,9388
us,9078
still,8913
would,8842
pandemic,8706
stay,8487
go,8450
others,8032
health,7923
need,7571
could,7496
know,7410
even,7363
stop,7306
home,7241
going,7199
help,7168
use,7162
hands,6903
everyone,6781
keep,6719
think,6668
corona,6618
distance,6510
safe,6506
via,6495
re,6492
without,6475
prevent,6350
says,6286
want,6247
realdonaldtrump,6166
make,6033
order,5646
see,5574
take,5525
time,5424
said,5388
many,5353
wash,5347
also,5166
day,5165
county,4889
way,4809
care,4799
around,4780
right,4727
mandatory,4704
mandate,4607
risk,4599
say,4578
good,4558
state,4542
study,4471
may,4409
covid_19,4393
today,4393
put,4306
texas,4189
000,4140
let,4113
positive,4087
work,4062
getting,4052
back,4000
lives,3991
much,3894
states,3893
person,3848
news,3806
deaths,3806
really,3760
president,3662
someone,3648
family,3620
well,3517
real,3440
medical,3439
life,3419
spreading,3352
sick,3305
thing,3274
second,3248
got,3244
save,3239
americans,3237
country,3207
ca,3191
florida,3189
every,3175
must,3094
wearamask,3066
anyone,3008
governor,3002
damn,2989
away,2989
better,2969
tested,2938
die,2899
rally,2824
science,2796
live,2779
world,2776
house,2760
testing,2734
nose,2730
man,2720
never,2711
look,2702
wo,2701
best,2695
fucking,2674
covering,2670
gov,2648
made,2644
transmission,2616
facemask,2610
cloth,2605
since,2594
100,2573
safety,2559
protection,2555
believe,2534
tell,2514
sure,2482
first,2450
test,2448
death,2430
read,2426
come,2424
hand,2424
n95,2417
reduce,2388
city,2370
part,2350
two,2344
anti,2342
political,2341
infected,2334
required,2314
remember,2309
open,2303
continue,2294
days,2278
follow,2263
due,2259
hospital,2256
stupid,2253
wave,2236
outside,2215
yet,2214
america,2207
another,2196
months,2192
free,2189
effective,2186
republican,2168
fight,2164
weeks,2133
cdc,2130
wore,2123
community,2123
slow,2122
store,2120
flu,2113
important,2102
dr,2098
less,2078
might,2076
saying,2074
disease,2057
businesses,2049
last,2038
show,2028
practice,2022
feel,2015
died,2013
numbers,1997
rules,1993
avoid,1987
