gram,counts
covid 19,72510
wear mask,31329
wearing mask,21213
white house,13098
mask wearing,9878
removes mask,9163
trump removes,8854
face mask,8626
return white,8485
mask upon,8425
upon return,8361
house hospital,8240
hospital via,8231
recovers covid,8230
watch trump,8230
president movements,8229
aides say,8229
say unsure,8229
via quicktake,8229
movements recovers,8229
limit president,8229
unsure limit,8229
quicktake aides,8229
opt notifications,8226
stop opt,8226
reply stop,8226
19 reply,8226
social distancing,6960
mask mandate,5039
without mask,4139
corona virus,4061
positive covid,3658
wash hands,3658
spread covid,3459
anti mask,3218
distancing mask,3091
tested positive,3083
social distance,2732
mask social,2575
coronavirus restrictions,2550
wearing work,2467
september mandatory,2394
outdoors despite,2280
restrictions achieve,2211
strict spain,2199
wore mask,2114
donald trump,2084
spain masks,2034
work boris,1993
wear masks,1932
mask mandates,1872
mask amp,1824
spanish cases,1811
president trump,1772
wear face,1733
face masks,1713
mandatory distancing,1692
mask covid,1690
covid19 coronavirus,1667
dies covid,1635
mask protect,1634
despite spanish,1591
stop spread,1589
wearing masks,1556
stay safe,1553
joe biden,1530
mask wash,1502
wearing face,1482
achieve nothing,1470
boris coronavirus,1467
damn mask,1410
19 cases,1375
biden wearing,1362
hand washing,1359
indoors outdoors,1357
get covid,1354
mask public,1340
masks mandatory,1337
wears mask,1333
people wear,1325
please wear,1315
positive coronavirus,1281
rose sharply,1264
slow spread,1258
virus defeated,1226
professional mask,1226
must worn,1210
hoping virus,1179
channel hoping,1179
19 mask,1152
wear damn,1145
tests positive,1136
200 000,1109
mask coronavirus,1106
spread coronavirus,1103
coronavirus covid19,1070
stay home,1058
first lady,1035
cases skyrocketed,1034
mask wear,1031
prevent spread,1022
masks must,1022
cases rose,1021
protect others,1002
washing hands,1001
public health,995
died covid,984
mask use,974
put mask,953
lockdown strict,943
19 wear,935
refused wear,931
coronavirus pandemic,909
wearing hand,895
trump covid,887
mask less,884
coronavirus mask,872
dig graves,871
inside outdoors,858
mask keep,850
throughout september,833
19 pandemic,825
save lives,823
fda approved,820
recommends professional,819
comfortable wear,811
searches ushoparea,810
spanish lockdown,810
approved google,810
defeated comfortable,810
wear fda,810
google searches,810
realdonaldtrump flotus,806
mask purchase,802
purchase channel,800
got covid,797
task force,797
keep distance,792
national mask,784
mandatory indoors,777
mandatory social,769
19 virus,769
skyrocketed september,765
19 wearing,762
people wearing,761
protect covid,760
absolutely nothing,752
social media,748
herman cain,739
many people,734
pro trump,729
achieve absolutely,728
spain lockdown,722
getting covid,722
face coverings,717
coronavirus cases,713
sharply september,709
graves covid,706
infected covid,697
19 mocking,692
need wear,688
take mask,687
mask stay,679
coronavirus still,677
test positive,676
face shield,675
mask help,675
must wear,672
mask pro,664
due covid,664
physical distancing,663
lockdown spain,661
pandemic social,660
lawmaker dies,659
19 victims,659
practice social,658
mocking pandemic,658
testing positive,657
trump lawmaker,654
bypass mask,646
19 hoax,640
worn mask,639
extremely strict,638
refusing wear,635
new york,629
trump knew,628
refuse wear,626
mask face,622
mask trump,617
worn inside,610
mask get,604
mask weeks,603
help slow,597
spread virus,596
mask white,596
cloth mask,582
n95 mask,577
karen pence,577
worn indoors,575
trump coronavirus,571
face covering,571
walter reed,570
fight covid,570
000 americans,565
doctor 28,562
weeks months,561
super spreader,561
masks work,558
get coronavirus,552
use mask,551
trump wear,547
mask stop,546
trump first,545
google search,543
socially distance,543
coronavirus task,539
statewide mask,538
19 diagnosis,537
forced dig,536
texas doctor,528
make sure,524
hope hicks,524
fucking mask,523
refuses wear,523
mask avoid,521
people died,521
gon na,516
28 dies,513
19 re,511
mask debate,510
19 test,508
cdc director,508
people covid,508
pence wearing,507
took mask,502
19 still,502
get infected,500
mask like,500
mask people,499
distance wear,499
sign covid,497
stay away,497
wearing social,497
sharply throughout,496
caught without,496
medical professionals,493
mask prevent,492
quarantine karen,492
red eyes,492
american people,492
re family,491
family 25,491
professionals pence,491
25 medical,491
pence red,491
conjunctivitis sign,491
eyes conjunctivitis,491
mask time,490
surgical mask,490
highly contagious,490
united states,481
chris wallace,478
wear one,477
mask rules,477
19 real,477
she wore,475
19 mutation,471
year old,471
mandatory mask,471
intensive care,470
despite number,469
help stop,469
take note,468
covid coronavirus,468
covid she,466
fox news,465
dr fauci,464
spreading covid,464
everyone wear,463
via huffpostpol,461
note mask,461
manga shinigami,459
virus noted,459
distance wash,459
noted deathnote,459
shinigami ryuk,459
ryuk kira,459
deathnote manga,459
mask hungry,459
hungry corona,459
mask save,453
europe india,453
mask forced,453
19 via,451
mask order,451
biden mask,449
mutation may,448
nose mouth,446
doctor friend,445
idaho pastor,444
evolving bypass,444
lady tested,443
friend recommends,443
may evolving,442
getting worse,442
notre dame,439
without wearing,437
realdonaldtrump trump,437
india covid,435
19 getting,434
make us,434
my doctor,431
worse my,431
indonesians caught,431
prayed mask,430
pastor prayed,429
19 spread,428
need mask,428
mask still,427
000 dead,425
wan na,425
mask even,424
contracted covid,422
trump says,421
safe social,419
mask properly,419
trump supporters,419
hospitalized covid,418
mask practice,416
removing mask,416
mask one,413
mask could,412
coronavirus mutation,409
us poorer,409
mask socially,409
mask would,409
000 people,407
recommend professional,407
doctor team,404
number cases,401
removed mask,401
hand sanitizer,399
nothing make,399
away viruses,397
coronavirus vaccine,395
amp coughing,394
want wear,389
19 trump,386
mask especially,385
wo obey,385
rules pence,385
obey rules,385
wear fucking,383
president donald,382
mask around,381
mask buying,380
cases spain,380
covid 19as,379
help prevent,379
buying channel,379
rose garden,377
catching covid,376
would still,376
let us,376
team recommends,376
mask wearers,375
feet away,371
get tested,370
mask protects,369
defeated stay,369
social stay,369
mask mask,369
mask distance,367
dame president,367
remember wear,366
loved ones,364
trump rally,363
contagious coronavirus,362
keep safe,362
masks protect,361
takes mask,360
distancing wearing,360
search ushoparea,353
robert redfield,353
trump tested,351
safe wear,350
hands wear,350
mask go,349
19 amp,348
via nypost,346
fun biden,346
every time,345
made fun,344
contact tracing,344
got coronavirus,341
still alive,340
infected wearing,339
trump still,338
every day,338
common sense,338
19 vaccine,338
coronavirus wear,337
reduce spread,337
100 028,336
185 contracted,336
virus doctor,336
contracted virus,336
028 died,336
711 185,336
19 positive,336
hands often,335
contracting covid,335
trump campaign,334
viruses google,334
new coronavirus,332
mandate intensive,331
mask prop,330
even though,330
sign waiver,329
discouraged wearing,329
like wearing,328
new cases,328
followers think,328
particularly strict,327
still discouraged,326
cloth face,326
uk coronavirus,326
mask masks,326
work uk,326
body make,325
avoid crowding,325
make antibodies,324
get sick,324
crowding washing,324
antibodies get,324
arbitrary coronavirus,323
skyrocketed throughout,320
help protect,319
washing via,318
rally trump,318
knew highly,317
ve quarantine,316
wh abbott,316
coughing wh,316
51 false,316
amp ignorance,316
arrogance amp,316
neg arrogance,316
pence ve,316
mask covid19,316
false neg,316
abbott test,316
test 51,316
catch covid,315
mask usage,315
cdc guidelines,314
spain extremely,313
especially among,313
masks help,312
maga rally,312
among followers,310
cain would,310
think herman,310
required attendees,309
attendees sign,309
attend tulsa,309
recommend everyone,309
trump required,309
last week,308
alive attend,308
tulsa maga,308
doctors disturbed,308
spread covid19,306
take covid,306
disturbed trump,306
kayleigh mcenany,305
mask policy,304
everyone wearing,304
taking mask,303
boris arbitrary,303
coronavirus corona,302
new covid,302
cases covid,300
would wear,299
000 deaths,299
lockdown extremely,295
facemask mask,294
making fun,293
died 711,292
mask despite,291
health care,289
210 000,287
mask follow,286
still wear,283
look spain,283
people around,283
amp social,282
feet apart,280
always wear,280
looks like,279
maintain social,279
vaccine body,278
mask free,278
boris johnson,278
anti maskers,277
last night,277
trump wearing,276
americans died,276
news coronavirus,276
mask died,275
mask work,274
remove mask,272
presidential debate,271
mask may,270
mask via,270
trump mocked,269
back white,269
hands frequently,268
mocked biden,268
19 deaths,268
mocking biden,267
coronavirus wearing,265
listened trump,264
lockdown particularly,263
mask got,262
claims biden,261
caught covid,260
non mask,260
president hospitalized,260
19 seriously,259
prop president,259
mutation emerges,259
via zazzle,258
emerges may,257
self defense,257
avoid infected,256
defense avoid,255
biggest mask,255
hands self,255
urged mask,254
house without,254
spain strict,253
announced covid,252
diagnosed covid,252
president announced,251
campaign adviser,250
negative covid,250
die covid,249
forced wear,249
prevent covid,248
amp mask,248
mandatory inside,247
doctor urged,247
19 would,246
stop covid,245
flu season,244
cloth masks,243
mask efficacy,241
nothing buffoon,240
mask going,239
secret service,239
person mask,238
coronavirus hoax,238
herd immunity,238
speedy recovery,237
mask please,237
epidemiologists wan,236
na vomit,236
close contact,235
keep mask,235
fake news,235
19 like,234
wearing one,234
photo op,234
wo wear,234
early straight,233
noel gallagher,233
infected coronavirus,233
public spaces,233
trump mask,233
vomit doctors,233
19 infection,232
america 100,232
football game,231
people die,230
take care,229
trump got,229
spain rose,229
mask covid_19,229
instituting national,229
biden president,228
trump family,227
rudy giuliani,227
protect coronavirus,226
deadly virus,226
coronavirus trump,223
around mask,222
via yahoo,222
mask re,222
press secretary,222
director robert,222
amp wear,221
getting coronavirus,221
19 please,220
others wear,219
adviser claims,219
ever seen,218
citizensdoctors recommend,217
like flu,217
ordinary citizensdoctors,217
protection ordinary,217
19as protection,217
trump said,216
mask requirement,216
even outdoors,215
global pandemic,214
big deal,214
coronavirus infection,213
knew covid,212
coronavirus update,210
coronavirus covid,210
coronavirus via,210
amp others,210
mask hand,210
public places,209
died days,209
joke vaccine,209
coronavirus face,208
people get,208
blamed biden,208
despite cases,208
mask requirements,207
mask maintain,207
mandate due,207
supreme court,206
refusal wear,206
president instituting,206
returns white,206
others covid,205
days president,205
protection coronavirus,203
house coronavirus,203
trump amp,203
discouraged mask,201
mouth nose,199
no masker,199
contract covid,199
go away,198
medical center,198
flu shot,198
follow social,198
trump blamed,198
mask make,197
strict lockdown,197
made masks,196
people dying,196
coronavirus man,196
vaccine mask,196
may bypass,195
tested negative,195
like mask,194
mask take,194
lockdown made,193
imposed strict,193
mandatory even,193
recovery covid,193
plan stop,193
spain imposed,193
restrictions destroying,193
two days,193
mask must,193
use face,192
mask wearamask,192
mandate social,191
action plan,191
sick covid,190
deadtrump action,190
americans deadtrump,190
mask fines,190
19 selecting,189
chronic asthma,189
selecting mask,189
19 even,188
trump returns,188
redfield confused,188
19 america,188
via etsy,188
says cdc,187
icu recovering,186
required wear,186
recovering coronavirus,186
wearing icu,186
man chronic,186
testing strategy,186
mask point,185
time see,185
asthma forced,185
everyone else,185
washing protections,185
coverings must,184
ki doori,184
point link,184
link masks,184
spain face,184
avoid using,184
masks avoid,184
cause breathing,184
breathing difficulties,184
time help,184
using cause,184
good news,183
together win,183
distance face,183
confused coronavirus,183
19 people,182
masks coronavirus,182
mask plane,181
strategy contact,181
virus no,181
redfield responded,181
no national,181
care covid,180
contracting coronavirus,180
pastor discouraged,180
mask also,179
medical mask,179
still mask,179
gaj ki,178
mask cover,178
hands follow,177
walking around,177
gets covid,177
bluereturn ballot,176
asapin person,176
straight bluereturn,176
dangerous america,176
president united,176
ballot asapin,176
wearing early,175
protection covid,175
19 one,175
still dangerous,175
pence quarantine,175
unite2fightcorona let,175
efficacy redfield,174
covid19 covid_19,174
always remember,174
keep social,173
take seriously,173
coronavirus symptoms,173
times new,173
mask helps,173
coughs way,172
coney barrett,172
doori together,172
novel coronavirus,172
people like,172
practice gaj,171
ron johnson,171
president sick,171
distancing practice,170
lawyer rudy,170
us always,169
even restrictions,169
health officials,169
weeks quarantine,169
way anti,169
sick weeks,169
masks covid,168
together succeed,168
win covid,168
exposed covid,168
outdoors even,168
trumphascovid trump,168
mask corona,168
succeed together,167
get around,167
lady recovery,167
quarantine first,167
even wear,167
masker pastor,167
cases rise,167
mask every,166
reed medical,166
mask interview,166
idaho no,166
like trump,166
follow science,166
shield sanitizer,166
giuliani coughs,166
still wearing,165
trump lawyer,165
kentucky doctor,164
melania trump,164
us unite2fightcorona,164
due coronavirus,164
praying pray,164
protect people,163
cdc head,163
got mask,163
amy coney,163
mask makes,163
debate social,163
ordinary citizens,163
via nbcnews,162
19 airborne,162
citizens protect,162
high risk,162
early dies,162
distance praying,162
19 melania,162
pray donald,162
protect themselvesdoctors,162
themselvesdoctors recommend,162
gas mask,162
19as ordinary,162
mask saying,160
mask correctly,160
distancing amp,160
mask right,160
mask claims,159
trump administration,159
melania president,159
afraid covid,159
corey lewandowski,158
sure wear,157
care coronavirus,157
believe covid,156
death mask,156
n95 masks,156
mask times,155
mask washing,155
symptoms death,155
mark meadows,155
mask ever,155
timeline mask,154
vaccine timeline,154
head vaccine,153
trump tests,153
facecovering mask,153
nose mask,153
mask studies,153
always wearing,153
six feet,153
pastormarkburns realdonaldtrump,152
disputes cdc,152
19 symptoms,151
hands regularly,151
19 back,151
trump melania,150
mask daldesignnz,150
public transport,149
biden coronavirus,149
paul rudd,149
orange cheeto,149
facecover covid19,148
old 74,148
74 orange,148
hospital covid,148
mask protest,148
mask facecover,148
york times,148
mike parson,148
masks facecovering,148
lewandowski spotted,147
physical distance,147
mike lee,147
trump advisor,147
mask recognition,146
mutation could,146
masks like,146
amp voting,145
mask outside,145
mask made,145
advisor corey,145
restrictions spanish,145
ordered dig,145
keep registering,145
conspiracy theories,145
sanitizer kamalaharris,145
around people,145
trump lied,144
death toll,144
americans dead,144
self isolate,143
anyone else,143
see got,143
mask might,143
reporters without,143
fear covid,143
trump disputes,142
fox chris,142
second wave,142
studies found,142
viewers wear,142
coronavirus concern,141
president tests,141
say wearing,141
returned white,140
covid19 corona,140
around others,140
bob woodward,139
quarantine lockdown,139
mask return,139
tests negative,138
could evolving,138
mask let,138
right thing,138
snake face,137
around without,137
others wearing,137
19 safety,137
said covid,137
mask orders,137
coronavirus spread,136
via youtube,136
get back,136
review mask,136
still got,136
sars cov,136
stopped transmission,136
one wearing,135
still infectious,135
returning white,135
good choice,135
evidence stopped,135
2019 review,135
spreading coronavirus,135
masks could,135
19 infections,134
mask photos,134
head coronavirus,134
via nyt,134
east java,134
transmission flu,134
donald died,134
go back,134
fun joe,133
gov mike,133
mask nose,133
evolving get,133
no evidence,132
found no,132
died coronavirus,132
know covid,132
mask want,132
everyone wears,132
spreading virus,132
high quality,132
washington post,131
continue wear,131
wearing dies,130
corona quarantine,130
kamalaharris keep,129
people amp,129
19 patient,129
mr trump,129
secretary kayleigh,128
trump getting,128
via usatoday,128
immunity covid,128
take precautions,128
spain skyrocketed,127
scotus announcement,127
getting sick,127
19 testing,127
coronavirus diagnosis,127
coronavirus masks,127
covid mask,126
urges people,126
long term,126
died old,126
quality masks,126
mask rule,126
house press,126
infected 207,126
immune system,125
using mask,125
masks past,125
useful products,125
coronavirus patient,125
makes breathing,125
large gatherings,125
looking masks,125
protect recommend,125
19 face,125
fines covid,125
everyone useful,125
got looking,125
weeks wearing,125
mask think,125
much good,125
back europe,125
family like,125
past weeks,125
like much,125
breathing easier,125
products got,125
easier family,125
distancing testing,124
like covid,124
copy 𝖎𝖘𝖍𝖔𝖕𝖟𝖔𝖓𝖊,124
lockdown facemasks,124
masks recently,124
serious must,124
coronavirus cdc,124
europe unsafe,124
still serious,124
search immediately,124
heard amazon,124
news copy,124
buy high,124
recently good,124
facemasks protection,124
protect heard,124
𝖎𝖘𝖍𝖔𝖕𝖟𝖔𝖓𝖊 google,124
unable buy,124
amazon unable,124
unsafe protect,124
amid covid,124
us wear,124
even mask,123
president first,123
get flu,123
york city,122
wholesale sale,122
biden wears,122
mask ordinance,122
gallagher refuses,122
mask anti,122
keep wearing,122
missouri governor,122
think covid,121
trumplied200kdied trumpknew,121
wallace urges,121
days ago,121
contagious trump,121
pence debate,121
mr president,121
cheeto finally,121
14 days,121
distance far,120
joebiden wearing,120
giving people,120
far pence,120
mask said,120
president covid,120
help keep,120
game without,119
chief staff,119
recognition arrived,119
florida governor,119
wholesale pricing,119
people mask,119
marine one,119
would self,119
photos upon,119
news wholesale,118
steampunk goth,118
saying would,118
mask knowing,118
cdc news,118
207 000,118
person wearing,118
others coronavirus,118
19 spreads,118
return hospital,118
get mask,118
covid_19 coronavirus,117
isolate due,117
behind mask,117
public transportation,117
johnson says,117
190 000,116
completed within,116
leave home,116
19 immunity,116
within two,116
million infected,116
difficulties delivery,116
delivery completed,116
better worse,115
without masks,115
